code,name,market
1301,極洋,1
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,11
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,11
1308,上場インデックスファンドＴＯＰＩＸ,11
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,11
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,3
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,11
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,11
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,11
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,11
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,11
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,11
1326,ＳＰＤＲゴールド・シェア,11
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,11
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,11
1330,上場インデックスファンド２２５,11
1332,ニッスイ,1
1333,マルハニチロ,1
133A,グローバルＸ　超短期米国債　ＥＴＦ,11
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,11
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,11
1346,ＭＡＸＩＳ　日経２２５上場投信,11
1348,ＭＡＸＩＳ　トピックス上場投信,11
1349,ＡＢＦ汎アジア債券インデックス・ファンド,11
1356,ＴＯＰＩＸベア２倍上場投信,11
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,11
1358,上場インデックスファンド日経レバレッジ指数,11
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,3
1360,日経平均ベア２倍上場投信,11
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,11
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,11
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,11
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,11
